epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.2764,1.29162,0.38028,1,1.22624,0.000225,0.000225,0.000225
2,52.3253,1.24783,0.39437,1,1.20052,0.000457921,0.000457921,0.000457921
3,76.8909,1.21604,0.33803,1,1.21257,0.00068614,0.00068614,0.00068614
4,107.624,1.15739,0.40845,1,1.10856,0.000909656,0.000909656,0.000909656
5,128.994,1.07044,0.49296,1,1.1237,0.00112847,0.00112847,0.00112847
6,154.928,1.07607,0.35211,1,1.57454,0.00118812,0.00118812,0.00118812
7,179.352,1.01613,0.43662,1,1.62663,0.00117575,0.00117575,0.00117575
8,204.668,1.03732,0.43662,1,1.24268,0.00116337,0.00116337,0.00116337
9,233.023,1.06176,0.40845,1,1.28776,0.001151,0.001151,0.001151
10,256.537,0.99507,0.43662,1,1.3099,0.00113863,0.00113863,0.00113863
11,278.253,0.95352,0.50704,1,1.32845,0.00112625,0.00112625,0.00112625
12,303.665,0.94763,0.53521,1,1.22135,0.00111388,0.00111388,0.00111388
13,326.032,0.85941,0.42254,1,1.72135,0.0011015,0.0011015,0.0011015
14,351.083,0.8566,0.42254,1,1.2277,0.00108913,0.00108913,0.00108913
15,373.81,0.81242,0.46479,1,1.58854,0.00107675,0.00107675,0.00107675
16,396.592,0.75851,0.4507,1,1.73763,0.00106437,0.00106437,0.00106437
17,428.69,0.77557,0.4507,1,1.52767,0.001052,0.001052,0.001052
18,449.347,0.78899,0.47887,1,1.23543,0.00103962,0.00103962,0.00103962
19,472.139,0.82129,0.46479,1,1.60514,0.00102725,0.00102725,0.00102725
20,503.167,0.71334,0.47887,1,1.26953,0.00101488,0.00101488,0.00101488
21,526.665,0.74494,0.47887,1,1.48958,0.0010025,0.0010025,0.0010025
22,557.33,0.68248,0.43662,1,1.29085,0.000990125,0.000990125,0.000990125
23,582.29,0.66985,0.52113,1,1.33366,0.00097775,0.00097775,0.00097775
24,610.677,0.66297,0.5493,1,1.35921,0.000965375,0.000965375,0.000965375
25,652.619,0.59255,0.49296,1,1.65723,0.000953,0.000953,0.000953
26,679.798,0.59688,0.57746,1,1.51823,0.000940625,0.000940625,0.000940625
27,702.544,0.607,0.57746,1,1.52995,0.00092825,0.00092825,0.00092825
28,736.126,0.65451,0.49296,1,1.41748,0.000915875,0.000915875,0.000915875
29,761.445,0.55186,0.47887,1,1.83105,0.0009035,0.0009035,0.0009035
30,789.216,0.48926,0.47887,1,1.38883,0.000891125,0.000891125,0.000891125
31,813.714,0.53088,0.53521,1,1.71712,0.00087875,0.00087875,0.00087875
32,845.887,0.50581,0.50704,1,2.56413,0.000866375,0.000866375,0.000866375
33,864.968,0.46258,0.53521,1,1.8737,0.000854,0.000854,0.000854
34,888.752,0.50256,0.49296,1,1.83301,0.000841625,0.000841625,0.000841625
35,909.427,0.49593,0.57746,1,1.70605,0.00082925,0.00082925,0.00082925
36,930.276,0.49151,0.60563,1,1.64242,0.000816875,0.000816875,0.000816875
37,962.343,0.44792,0.53521,1,2.54753,0.0008045,0.0008045,0.0008045
38,985.804,0.40884,0.47887,1,2.73014,0.000792125,0.000792125,0.000792125
39,1007.01,0.4471,0.52113,1,1.66699,0.00077975,0.00077975,0.00077975
40,1040.89,0.43901,0.49296,1,1.99414,0.000767375,0.000767375,0.000767375
41,1068.59,0.45168,0.5493,1,1.60872,0.000755,0.000755,0.000755
42,1106.12,0.39773,0.56338,1,1.80859,0.000742625,0.000742625,0.000742625
43,1132.32,0.38762,0.52113,1,1.98275,0.00073025,0.00073025,0.00073025
44,1156.19,0.35385,0.5493,1,1.86361,0.000717875,0.000717875,0.000717875
45,1191.77,0.34505,0.50704,1,1.91341,0.0007055,0.0007055,0.0007055
46,1214.13,0.36489,0.52113,1,2.56966,0.000693125,0.000693125,0.000693125
47,1238.12,0.32074,0.52113,1,2.22363,0.00068075,0.00068075,0.00068075
48,1271.14,0.34771,0.53521,1,1.86947,0.000668375,0.000668375,0.000668375
49,1292.26,0.29044,0.5493,1,2.125,0.000656,0.000656,0.000656
50,1319.45,0.3997,0.53521,1,1.75602,0.000643625,0.000643625,0.000643625
51,1342.04,0.3106,0.52113,1,2.51432,0.00063125,0.00063125,0.00063125
52,1365.09,0.30846,0.57746,1,2.04525,0.000618875,0.000618875,0.000618875
53,1399.6,0.3374,0.52113,1,1.86263,0.0006065,0.0006065,0.0006065
54,1423.67,0.25799,0.53521,1,2.00163,0.000594125,0.000594125,0.000594125
55,1448.13,0.30331,0.50704,1,2.02474,0.00058175,0.00058175,0.00058175
56,1478.59,0.34431,0.52113,1,1.64144,0.000569375,0.000569375,0.000569375
57,1501.41,0.25331,0.56338,1,1.71273,0.000557,0.000557,0.000557
58,1527.77,0.25489,0.50704,1,2.62598,0.000544625,0.000544625,0.000544625
59,1554.54,0.30142,0.52113,1,2.5472,0.00053225,0.00053225,0.00053225
60,1576.24,0.24734,0.52113,1,2.77637,0.000519875,0.000519875,0.000519875
61,1605.15,0.24602,0.50704,1,2.47884,0.0005075,0.0005075,0.0005075
62,1627.77,0.24643,0.47887,1,2.66211,0.000495125,0.000495125,0.000495125
63,1651.33,0.24379,0.50704,1,3.25846,0.00048275,0.00048275,0.00048275
64,1681.17,0.29703,0.50704,1,2.63346,0.000470375,0.000470375,0.000470375
65,1703.11,0.2559,0.52113,1,2.70443,0.000458,0.000458,0.000458
66,1727.54,0.21929,0.52113,1,2.39225,0.000445625,0.000445625,0.000445625
67,1756.23,0.24852,0.52113,1,2.68197,0.00043325,0.00043325,0.00043325
68,1779.33,0.27895,0.52113,1,2.43099,0.000420875,0.000420875,0.000420875
69,1806.26,0.26785,0.53521,1,2.18587,0.0004085,0.0004085,0.0004085
70,1828.35,0.18374,0.50704,1,1.90723,0.000396125,0.000396125,0.000396125
71,1857.56,0.26353,0.50704,1,2.11947,0.00038375,0.00038375,0.00038375
72,1888.04,0.25485,0.5493,1,2.50651,0.000371375,0.000371375,0.000371375
73,1910.48,0.31812,0.52113,1,2.42643,0.000359,0.000359,0.000359
74,1935.48,0.23514,0.49296,1,2.60612,0.000346625,0.000346625,0.000346625
75,1967.34,0.21756,0.47887,1,2.22233,0.00033425,0.00033425,0.00033425
76,1993.29,0.20738,0.52113,1,3.01823,0.000321875,0.000321875,0.000321875
77,2021.41,0.20218,0.53521,1,2.56543,0.0003095,0.0003095,0.0003095
78,2045.13,0.1895,0.56338,1,2.89583,0.000297125,0.000297125,0.000297125
79,2070.06,0.27324,0.57746,1,2.64453,0.00028475,0.00028475,0.00028475
80,2099.76,0.22566,0.53521,1,2.11426,0.000272375,0.000272375,0.000272375
81,2133.65,0.25021,0.53521,1,2.77734,0.00026,0.00026,0.00026
82,2158.76,0.21369,0.5493,1,2.42839,0.000247625,0.000247625,0.000247625
83,2187.67,0.15042,0.57746,1,2.61686,0.00023525,0.00023525,0.00023525
84,2213.84,0.19765,0.57746,1,2.2806,0.000222875,0.000222875,0.000222875
85,2237.45,0.21372,0.56338,1,3.01237,0.0002105,0.0002105,0.0002105
86,2264.9,0.23825,0.57746,1,2.15625,0.000198125,0.000198125,0.000198125
87,2291.76,0.1733,0.57746,1,2.06022,0.00018575,0.00018575,0.00018575
88,2323.08,0.22794,0.56338,1,2.63086,0.000173375,0.000173375,0.000173375
89,2351.32,0.16988,0.5493,1,1.97624,0.000161,0.000161,0.000161
90,2377.27,0.25354,0.56338,1,2.34017,0.000148625,0.000148625,0.000148625
91,2421.63,0.23122,0.5493,1,1.85661,0.00013625,0.00013625,0.00013625
92,2448.88,0.20276,0.56338,1,2.0791,0.000123875,0.000123875,0.000123875
93,2475.57,0.15465,0.56338,1,2.01465,0.0001115,0.0001115,0.0001115
94,2507.22,0.13866,0.57746,1,2.14323,9.9125e-05,9.9125e-05,9.9125e-05
95,2535.27,0.13738,0.57746,1,2.32357,8.675e-05,8.675e-05,8.675e-05
96,2560.54,0.19902,0.57746,1,2.11458,7.4375e-05,7.4375e-05,7.4375e-05
97,2593.38,0.18016,0.5493,1,1.8527,6.2e-05,6.2e-05,6.2e-05
98,2619.5,0.16895,0.56338,1,2.43099,4.9625e-05,4.9625e-05,4.9625e-05
99,2649.31,0.20268,0.57746,1,1.86304,3.725e-05,3.725e-05,3.725e-05
100,2679.73,0.16943,0.56338,1,2.71289,2.4875e-05,2.4875e-05,2.4875e-05
